"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
b7d27ef2-0350-497c-93ee-6d3214565e1f,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",ad5c3462-052c-44be-8deb-5a34785bedb8,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
bbdc8e24-f69c-46e8-9587-356790f28e67,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,e6584c8e-b958-4631-af8b-41175fb2af78,"#N/A","#N/A",Product Option,"#N/A","#N/A"
bda2182d-e3eb-4772-ba5f-c3bc9e390af8,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",a61a6547-61ee-4cf2-8e04-8d98be489bd2,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
c2495bdf-d37f-46f9-9bb9-5825465482f9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,4e3eff86-6063-4190-beb0-39c3e6b282a5,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
cb439cd7-3f91-40d3-968e-d74f76a5d46f,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,6503c58c-6b66-407a-b777-da2e1c0d9a36,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
d5a4105e-1048-4fb9-9a81-6b8f6755a26f,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",fb013884-c17f-4e1a-8529-48e3523d25a6,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
dbb22707-f284-4a8d-aa2b-f5e255e89632,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",448b6a79-e665-4348-b4ae-29fd26872130,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
deb6563b-01fa-478a-981d-b90a7c1e6643,Discount (%),"#N/A","#N/A",71fff194-252d-4f65-bb74-539d5826552b,"#N/A","#N/A",Quote Line,"#N/A",10
df95d665-7ae0-4c83-bae4-2a300b304a16,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",bc41fb25-fa1a-4b06-a80c-38315de3e58e,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
e326c32c-af5b-4c75-9631-a81e506b70ad,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,36f73192-9eb9-44ae-9d27-8f18dc15d70f,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
e46b991c-53c5-4073-8f93-06e68e8d155c,Discount (%),"#N/A","#N/A",7dfd1171-b756-4aeb-bc34-70666369f23c,"#N/A","#N/A",Quote Line,"#N/A",45
ecbec055-410b-4160-95cc-cd7b74083ba2,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",448b6a79-e665-4348-b4ae-29fd26872130,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
ed7ab910-4026-44af-92e1-7a11f65523b9,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",01798313-b55a-4b02-819e-e3f821f013c8,"#N/A","#N/A",Quote,"#N/A",10
f69da747-9bd3-4b1c-aae0-c42bf3923bb6,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",18f2b89d-5523-4801-ae4b-69229670e955,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
